# Open,High,Low,Volume,Close
587.88147,593.709656,583.916321,4116900,592.867798
592.279968,592.778137,588.484192,3461800,591.129272
588.17041,597.709656,587.627441,3686400,597.709656
595.572632,599.946228,594.172913,4389700,599.154236
598.461792,604.17041,597.75946,4233500,603.179138
600.399536,602.352234,596.514099,4222900,598.92511
599.323608,601.191589,597.869019,3414300,599.806763
601.649841,602.676025,599.174133,3738500,599.6474
600.429443,607.801819,600.299927,3361100,603.991089
605.699707,609.963684,602.950012,2888100,607.722107
609.714661,612.145508,604.61377,3979100,607.806763
606.920105,609.829224,606.232666,2529400,607.328613
607.891479,609.809265,600.857849,4644500,605.555237
601.121826,601.664795,593.844116,4225300,599.099426
605.231445,605.729553,602.491699,2946300,605.186584
605.256348,609.256348,603.443176,2479700,606.855347
608.857849,610.785645,607.024719,2545600,607.527832
611.109436,611.204041,603.458069,3041500,605.126831
605.575134,606.546509,599.796814,2438200,603.522827
604.618713,604.8927,596.085754,3438800,597.754456
595.966187,601.6698,589.883972,3943200,601.395813
601.719604,602.989868,590.167908,4708600,592.309875
588.788086,593.211487,584.075745,4604900,584.210266
587.423218,596.299927,586.855347,4340300,593.824219
595.104431,603.50293,594.302429,3643500,603.368408
603.63739,603.732056,594.974915,3237800,597.385864
597.734558,602.546509,595.44812,3381900,596.344727
600.902649,602.556458,589.017212,6441000,589.311096
589.883972,590.237671,570.835388,6096800,576.802979
580.822937,582.735779,571.358398,4838400,577.196533
578.835388,583.597534,563.637329,5179200,563.87146
566.444824,566.444824,551.406128,13100,556.930969
559.663452,564.87915,557.140381,41200,558.456787
565.337891,565.447571,555.405151,10800,555.445007
557.180237,566.893616,557.180237,7900,565.607117
598.347229,603.174011,560.650757,147100,565.447571
568.289734,585.672058,562.585449,5099100,568.180054
573.076599,576.188049,541.513306,6369300,541.652893
539.25946,546.978271,525.706665,4401600,536.676575
541.11438,553.480408,540.127075,3151200,553.380676
558.087769,563.822021,551.436035,3330800,562.595398
563.453064,563.453064,538.421753,4036800,539.468872
531.091858,538.521484,525.088379,3924800,529.147217
536.776306,542.610291,528.110046,2575000,531.061951
535.35022,536.975708,517.040466,3855000,534.971252
541.513306,555.474915,538.521484,4893200,555.016174
547.307373,547.995483,529.69574,6809500,534.632141
534.632141,535.23053,524.160889,2566700,527.172668
527.192566,535.759094,526.065674,2365300,533.345703
532.328491,532.408264,524.809143,2052300,525.497253
528.618652,530.194336,520.69043,1883100,523.722107
521.079407,523.263367,514.008789,2100300,514.766724
515.763977,517.180054,501.42334,3335500,515.73407
515.484741,528.010376,514.906311,2699000,526.255188
526.155457,526.554321,521.089355,1751100,525.218018
525.666809,531.470825,522.445618,1905500,529.895203
532.298584,532.537903,524.170898,1688500,526.484558
523.383057,527.451904,519.892639,1024100,526.364868
523.791931,525.367615,513.64978,1689000,513.729553
514.377747,515.26532,501.921967,3224300,508.563751
507.067841,515.813843,505.063354,2021300,509.600891
509.351563,518.476501,502.819519,2439400,517.309753
522.07666,528.738342,517.588989,1912500,528.469116
529.436462,534.602234,528.060181,1653400,531.630432
531.540649,531.540649,523.851746,1191700,525.208069
524.26062,524.430176,516.003296,1704300,518.556274
519.962463,520.371338,514.028748,1485200,519.204529
518.2771,528.329468,516.165894,1277700,527.411987
528.289551,534.761841,524.859009,1784700,528.319519
531.440918,537.706726,530.453613,1196200,537.464417
539.648376,546.100708,539.299377,1615800,543.567627
545.761597,552.124146,542.211365,1932100,551.186707
554.477661,564.450317,552.832214,2104100,564.400452
563.024231,566.285278,559.463989,1652000,560.142151
561.807556,562.45575,557.180237,1354100,558.546509
559.264526,559.813049,554.387939,1771100,558.357056
559.164795,559.364258,544.235779,1435000,552.41333
549.481384,550.827698,541.064514,1866600,543.447937
540.017395,547.10791,537.274902,1816400,543.168701
544.903992,553.430542,542.95929,1689100,552.383423
556.532043,556.532043,547.427063,1736700,554.806763
555.624512,561.358765,554.517578,1467500,560.580933
558.975342,562.056885,556.372498,1351700,559.015198
556.472229,558.347046,553.500366,1100100,557.309875
555.774109,556.462219,546.958313,1458400,549.840393
550.747925,550.787842,544.066284,1220500,550.249268
547.756165,548.115173,540.037354,1702500,542.789795
542.709961,543.826904,537.853333,1444500,541.523254
543.368164,552.044373,542.510559,1741700,551.854858
552.722473,553.480408,547.008179,2456800,553.380676
555.325378,556.053345,548.88501,4508300,554.83667
553.630005,563.453064,552.732483,1536800,563.403198
563.642517,571.078125,559.473938,2207100,563.074097
563.712341,578.37207,563.672424,1969300,577.065674
579.409241,580.855286,570.284302,1741900,574.422913
575.59967,578.282349,572.228943,2236900,575.659546
577.075623,577.983154,573.176331,1313700,573.704895
576.736572,582.799927,575.071167,1447900,581.074646
581.752808,583.837097,578.800903,1056300,580.740601
581.752808,583.408264,579.329468,714100,583.129028
582.161682,584.824341,578.003113,1064600,580.655823
576.078369,577.941284,564.584961,1909500,569.526367
570.015015,575.14093,567.817078,1116700,574.502686
564.360535,575.011292,563.463013,1356700,569.536316
570.344116,579.259644,569.855469,1621700,577.594238
581.004822,583.607727,576.447388,1854000,583.268616
584.13623,584.20105,574.981384,1623000,583.178894
586.390076,586.78894,580.605957,1397100,581.064697
577.943237,579.399231,567.053162,3016500,572.159119
591.376404,595.165955,580.406494,4014100,593.450684
590.129822,592.772522,583.630615,2062100,587.856018
589.1026,598.008179,588.982971,1699100,593.111633
591.605774,596.213074,590.877747,1233100,594.348206
594.816956,597.858582,590.149719,1035100,591.725403
588.783508,590.239502,585.422729,932400,587.407288
586.4599,590.877747,583.151978,986800,588.982971
587.138,588.085388,581.917358,1349800,584.006592
584.944031,587.885986,582.401001,1016400,585.811646
579.010315,582.052002,568.439331,2102700,570.034973
568.838257,574.383057,561.308899,1955200,564.520081
567.481995,573.774719,562.555481,1427300,571.58075
568.489197,570.41394,561.06958,1551200,563.522827
560.241882,569.137451,558.466736,1334300,564.823303
566.444824,568.329651,559.563721,1110900,561.817505
562.016968,568.68866,558.815796,1494700,567.212708
568.429382,568.927979,564.450317,1214700,566.325134
562.974365,564.350586,559.344299,1542000,561.18927
565.756714,573.425659,564.200989,1439200,573.206238
574.602417,576.317749,569.316956,985400,573.076599
576.277832,577.79364,568.957947,1519100,571.909851
574.532593,582.909607,574.422913,1284100,580.56604
583.398254,585.731873,582.401001,978600,585.253174
584.275879,585.093628,580.974915,1036700,582.889648
582.221497,582.899658,579.548828,914800,581.772766
581.992126,583.633606,579.050232,789000,580.964966
583.119019,583.398254,577.414734,1361400,578.61145
579.668518,580.207031,575.001343,1639600,576.277832
575.689453,576.906128,568.542053,1703300,569.436584
568.000549,571.680481,565.547302,1292900,567.641541
569.765686,570.473755,565.516357,1083700,570.034973
570.284302,576.247925,569.626099,1578400,575.749268
578.411987,581.393799,573.425659,1215100,576.357605
578.411987,584.395569,577.634094,1458100,580.386536
582.381042,584.944031,580.356628,1632300,584.475342
584.993896,590.149719,584.694702,1431000,588.105347
587.287598,587.387329,578.411987,1287200,579.419189
579.907837,581.902405,575.360352,977300,581.503479
578.770996,580.217041,574.68219,1221000,579.758301
579.409241,580.047485,572.887146,1601600,574.043945
571.371277,573.375793,566.654236,1597500,571.530884
571.191772,579.907837,571.092041,1480300,578.362122
578.421936,585.911377,577.190308,1692800,583.168884
585.392822,587.925842,583.398254,1444500,587.656616
589.880493,594.846863,587.885986,3736600,594.447937
592.194153,592.322754,581.862488,1689500,585.76178
585.243225,585.243225,579.409241,1471400,579.538879
579.867981,588.015625,578.930542,1728100,586.380066
585.941284,586.370117,572.60791,1925900,573.485474
574.482788,577.664001,573.086609,1443600,575.519897
570.18457,576.606934,569.60614,1282400,574.781921
575.350403,578.26239,571.281555,1621700,575.779175
574.432922,575.998596,565.45752,1445400,566.714111
565.756714,570.344116,561.777649,1178400,568.519104
571.481018,575.644592,570.932495,1141700,573.704895
577.215271,579.409241,572.867188,1214600,575.769226
572.827332,573.694946,562.196472,1911300,562.196472
564.021484,572.308716,555.963623,1990800,570.932495
569.616089,569.925293,557.529297,2524800,559.344299
556.192993,563.582703,542.560425,3081900,542.999207
543.497803,547.995483,531.640381,2581600,531.750061
537.4245,545.691833,531.710205,2222500,536.467102
529.556091,531.341187,516.88092,3719300,528.578796
517.578979,527.980408,513.589966,3708500,523.073914
525.806396,529.526184,507.137665,5539300,509.770416
508.055145,520.331421,506.708832,2607500,519.41394
523.752014,525.347656,517.68866,2336200,525.098328
528.439148,538.322021,527.352173,2919200,531.251465
537.843323,545.721741,534.382874,2348800,542.490601
542.869568,543.388123,534.322998,1973100,538.302063
535.559631,542.919434,535.559631,1185300,539.289368
541.513306,547.476929,540.137024,1270900,547.397095
548.49408,552.672607,545.482361,1770500,547.825928
547.44696,551.286438,542.021851,1455600,548.803284
557.818481,558.037903,553.231079,2035000,557.549255
553.979065,556.372498,551.715271,1382200,553.699829
551.485901,553.979065,547.796021,1244200,552.592834
555.275513,555.275513,542.560425,2032200,544.425293
544.006409,545.387634,539.488831,1333200,540.555908
544.714478,544.714478,537.195129,1633700,539.528748
539.977478,548.085205,539.538696,1134600,545.990967
546.98822,550.428772,544.80426,965500,548.783325
548.883057,548.95282,543.677307,1129600,545.811462
548.294678,548.294678,541.991943,1339300,543.88678
545.183228,545.183228,540.665588,1289500,542.909424
542.091675,542.301086,532.598755,1726000,535.041016
536.02832,540.456177,532.707458,1962600,533.565125
533.535156,536.766296,528.628662,1392200,535.519714
529.795471,533.644897,529.625916,1563300,533.365662
540.127075,540.65564,535.090881,2224200,536.02832
536.177917,541.214111,534.153503,1706300,537.793518
537.524231,542.490601,537.127319,1789900,539.598511
539.399109,540.067261,535.571594,1522900,538.890503
539.139771,540.515991,535.130798,1148300,540.346497
537.4245,539.927612,530.403748,2115300,532.33844
532.049255,534.033813,528.349426,1526600,532.288574
